"","sample","maxGeneset"
"TTC125-0616A","P0616A","cytotoxic1"
"TTC127-0616A","P0616A","cytotoxic1"
"TTC128-0616A","P0616A","predysfunctional3"
"TTC129-0616A","P0616A","predysfunctional3"
"TTC131-0616A","P0616A","cytotoxic1"
"TTC132-0616A","P0616A","cytotoxic1"
"TTC133-0616A","P0616A","predysfunctional3"
"TTC134-0616A","P0616A","cytotoxic1"
"TTC136-0616A","P0616A","predysfunctional3"
"TTC137-0616A","P0616A","predysfunctional3"
"TTC140-0616A","P0616A","cytotoxic1"
"TTC14-0616A","P0616A","predysfunctional3"
"TTC141-0616A","P0616A","predysfunctional3"
"TTC142-0616A","P0616A","predysfunctional3"
"TTC143-0616A","P0616A","cytotoxic1"
"TTC146-0616A","P0616A","naive2"
"TTC150-0616A","P0616A","predysfunctional3"
"TTC15-0616A","P0616A","predysfunctional3"
"TTC151-0616A","P0616A","predysfunctional3"
"TTC152-0616A","P0616A","naive2"
"TTC153-0616A","P0616A","cytotoxic1"
"TTC154-0616A","P0616A","predysfunctional3"
"TTC157-0616A","P0616A","predysfunctional3"
"TTC158-0616A","P0616A","cytotoxic1"
"TTC159-0616A","P0616A","naive2"
"TTC162-0616A","P0616A","cytotoxic1"
"TTC164-0616A","P0616A","cytotoxic1"
"TTC165-0616A","P0616A","predysfunctional3"
"TTC166-0616A","P0616A","predysfunctional3"
"TTC168-0616A","P0616A","naive2"
"TTC169-0616A","P0616A","predysfunctional3"
"TTC170-0616A","P0616A","predysfunctional3"
"TTC172-0616A","P0616A","predysfunctional3"
"TTC173-0616A","P0616A","naive2"
"TTC174-0616A","P0616A","predysfunctional3"
"TTC175-0616A","P0616A","naive2"
"TTC176-0616A","P0616A","predysfunctional3"
"TTC178-0616A","P0616A","predysfunctional3"
"TTC179-0616A","P0616A","predysfunctional3"
"TTC180-0616A","P0616A","naive2"
"TTC18-0616A","P0616A","cytotoxic1"
"TTC181-0616A","P0616A","predysfunctional3"
"TTC182-0616A","P0616A","predysfunctional3"
"TTC183-0616A","P0616A","cytotoxic1"
"TTC184-0616A","P0616A","cytotoxic1"
"TTC186-0616A","P0616A","naive2"
"TTC187-0616A","P0616A","predysfunctional3"
"TTC188-0616A","P0616A","predysfunctional3"
"TTC189-0616A","P0616A","predysfunctional3"
"TTC190-0616A","P0616A","predysfunctional3"
"TTC191-0616A","P0616A","naive2"
"TTC195-0616A","P0616A","predysfunctional3"
"TTC198-0616A","P0616A","cytotoxic1"
"TTC20-0616A","P0616A","predysfunctional3"
"TTC202-0616A","P0616A","cytotoxic1"
"TTC204-0616A","P0616A","naive2"
"TTC205-0616A","P0616A","cytotoxic1"
"TTC207-0616A","P0616A","cytotoxic1"
"TTC209-0616A","P0616A","cytotoxic1"
"TTC21-0616A","P0616A","predysfunctional3"
"TTC212-0616A","P0616A","predysfunctional3"
"TTC215-0616A","P0616A","dysfunctional4"
"TTC22-0616A","P0616A","cytotoxic1"
"TTC223-0616A","P0616A","predysfunctional3"
"TTC24-0616A","P0616A","predysfunctional3"
"TTC25-0616A","P0616A","cytotoxic1"
"TTC252-0616A","P0616A","predysfunctional3"
"TTC255-0616A","P0616A","naive2"
"TTC256-0616A","P0616A","cytotoxic1"
"TTC257-0616A","P0616A","cytotoxic1"
"TTC260-0616A","P0616A","dysfunctional4"
"TTC26-0616A","P0616A","predysfunctional3"
"TTC262-0616A","P0616A","cytotoxic1"
"TTC270-0616A","P0616A","predysfunctional3"
"TTC27-0616A","P0616A","predysfunctional3"
"TTC28-0616A","P0616A","cytotoxic1"
"TTC29-0616A","P0616A","naive2"
"TTC30-0616A","P0616A","predysfunctional3"
"TTC31-0616A","P0616A","cytotoxic1"
"TTC34-0616A","P0616A","naive2"
"TTC39-0616A","P0616A","predysfunctional3"
"TTC45-0616A","P0616A","predysfunctional3"
"TTC46-0616A","P0616A","cytotoxic1"
"TTC47-0616A","P0616A","predysfunctional3"
"TTC49-0616A","P0616A","naive2"
"TTC5-0616A","P0616A","predysfunctional3"
"TTC52-0616A","P0616A","predysfunctional3"
"TTC53-0616A","P0616A","predysfunctional3"
"TTC55-0616A","P0616A","predysfunctional3"
"TTC56-0616A","P0616A","predysfunctional3"
"TTC57-0616A","P0616A","naive2"
"TTC60-0616A","P0616A","cytotoxic1"
"TTC6-0616A","P0616A","cytotoxic1"
"TTC61-0616A","P0616A","cytotoxic1"
"TTC62-0616A","P0616A","predysfunctional3"
"TTC63-0616A","P0616A","predysfunctional3"
"TTC66-0616A","P0616A","naive2"
"TTC67-0616A","P0616A","cytotoxic1"
"TTC68-0616A","P0616A","naive2"
"TTC70-0616A","P0616A","naive2"
"TTC7-0616A","P0616A","predysfunctional3"
"TTC72-0616A","P0616A","naive2"
"TTC73-0616A","P0616A","cytotoxic1"
"TTC74-0616A","P0616A","naive2"
"TTC75-0616A","P0616A","predysfunctional3"
"TTC76-0616A","P0616A","predysfunctional3"
"TTC77-0616A","P0616A","cytotoxic1"
"TTC78-0616A","P0616A","predysfunctional3"
"TTC79-0616A","P0616A","cytotoxic1"
"TTC8-0616A","P0616A","dysfunctional4"
"TTC82-0616A","P0616A","predysfunctional3"
"TTC83-0616A","P0616A","predysfunctional3"
"TTC84-0616A","P0616A","dysfunctional4"
"TTC85-0616A","P0616A","predysfunctional3"
"TTC87-0616A","P0616A","predysfunctional3"
"TTC88-0616A","P0616A","predysfunctional3"
"TTC89-0616A","P0616A","predysfunctional3"
"TTC90-0616A","P0616A","predysfunctional3"
"TTC9-0616A","P0616A","cytotoxic1"
"TTC92-0616A","P0616A","cytotoxic1"
"TTC94-0616A","P0616A","predysfunctional3"
"TTC95-0616A","P0616A","cytotoxic1"
"TTC99-0616A","P0616A","predysfunctional3"
"TTC149-0616A","P0616A","predysfunctional3"
"TTC160-0616A","P0616A","predysfunctional3"
"TTC206-0616A","P0616A","predysfunctional3"
"TTC208-0616A","P0616A","predysfunctional3"
"TTC211-0616A","P0616A","naive2"
"TTC214-0616A","P0616A","predysfunctional3"
"TTC216-0616A","P0616A","predysfunctional3"
"TTC222-0616A","P0616A","predysfunctional3"
"TTC225-0616A","P0616A","predysfunctional3"
"TTC226-0616A","P0616A","predysfunctional3"
"TTC228-0616A","P0616A","naive2"
"TTC229-0616A","P0616A","predysfunctional3"
"TTC232-0616A","P0616A","predysfunctional3"
"TTC235-0616A","P0616A","cytotoxic1"
"TTC236-0616A","P0616A","predysfunctional3"
"TTC238-0616A","P0616A","predysfunctional3"
"TTC239-0616A","P0616A","naive2"
"TTC240-0616A","P0616A","naive2"
"TTC241-0616A","P0616A","predysfunctional3"
"TTC242-0616A","P0616A","predysfunctional3"
"PTC100-0616A","P0616A","cytotoxic1"
"PTC102-0616A","P0616A","cytotoxic1"
"PTC109-0616A","P0616A","cytotoxic1"
"PTC110-0616A","P0616A","naive2"
"PTC113-0616A","P0616A","predysfunctional3"
"PTC115-0616A","P0616A","naive2"
"PTC124-0616A","P0616A","naive2"
"PTC125-0616A","P0616A","cytotoxic1"
"PTC127-0616A","P0616A","naive2"
"PTC128-0616A","P0616A","naive2"
"PTC129-0616A","P0616A","naive2"
"PTC131-0616A","P0616A","cytotoxic1"
"PTC133-0616A","P0616A","naive2"
"PTC134-0616A","P0616A","cytotoxic1"
"PTC136-0616A","P0616A","cytotoxic1"
"PTC141-0616A","P0616A","cytotoxic1"
"PTC142-0616A","P0616A","predysfunctional3"
"PTC153-0616A","P0616A","cytotoxic1"
"PTC154-0616A","P0616A","naive2"
"PTC157-0616A","P0616A","naive2"
"PTC158-0616A","P0616A","naive2"
"PTC160-0616A","P0616A","naive2"
"PTC98-0616A","P0616A","naive2"
"PTC99-0616A","P0616A","cytotoxic1"
"TTC244-0616A","P0616A","predysfunctional3"
"TTC247-0616A","P0616A","naive2"
"TTC249-0616A","P0616A","predysfunctional3"
"TTC250-0616A","P0616A","naive2"
"TTC251-0616A","P0616A","cytotoxic1"
"TTC105-0616P","P0616P","dysfunctional4"
"TTC107-0616P","P0616P","naive2"
"TTC109-0616P","P0616P","dysfunctional4"
"TTC110-0616P","P0616P","predysfunctional3"
"TTC113-0616P","P0616P","naive2"
"TTC13-0616P","P0616P","dysfunctional4"
"TTC14-0616P","P0616P","naive2"
"TTC22-0616P","P0616P","dysfunctional4"
"TTC25-0616P","P0616P","dysfunctional4"
"TTC32-0616P","P0616P","predysfunctional3"
"TTC33-0616P","P0616P","predysfunctional3"
"TTC35-0616P","P0616P","predysfunctional3"
"TTC37-0616P","P0616P","dysfunctional4"
"TTC38-0616P","P0616P","dysfunctional4"
"TTC39-0616P","P0616P","dysfunctional4"
"TTC44-0616P","P0616P","dysfunctional4"
"TTC45-0616P","P0616P","dysfunctional4"
"TTC46-0616P","P0616P","dysfunctional4"
"TTC49-0616P","P0616P","dysfunctional4"
"TTC50-0616P","P0616P","cytotoxic1"
"TTC51-0616P","P0616P","cytotoxic1"
"TTC52-0616P","P0616P","naive2"
"TTC53-0616P","P0616P","dysfunctional4"
"TTC56-0616P","P0616P","cytotoxic1"
"TTC6-0616P","P0616P","dysfunctional4"
"TTC67-0616P","P0616P","cytotoxic1"
"TTC7-0616P","P0616P","cytotoxic1"
"TTC75-0616P","P0616P","dysfunctional4"
"TTC87-0616P","P0616P","dysfunctional4"
"TTC90-0616P","P0616P","naive2"
"TTC97-0616P","P0616P","cytotoxic1"
"TTC98-0616P","P0616P","predysfunctional3"
"TTC99-0616P","P0616P","predysfunctional3"
"NTC10-0616P","P0616P","cytotoxic1"
"NTC11-0616P","P0616P","cytotoxic1"
"NTC12-0616P","P0616P","cytotoxic1"
"NTC13-0616P","P0616P","cytotoxic1"
"NTC15-0616P","P0616P","cytotoxic1"
"NTC21-0616P","P0616P","cytotoxic1"
"NTC23-0616P","P0616P","cytotoxic1"
"NTC26-0616P","P0616P","cytotoxic1"
"NTC27-0616P","P0616P","cytotoxic1"
"NTC28-0616P","P0616P","cytotoxic1"
"NTC29-0616P","P0616P","cytotoxic1"
"NTC3-0616P","P0616P","cytotoxic1"
"NTC31-0616P","P0616P","cytotoxic1"
"NTC33-0616P","P0616P","cytotoxic1"
"NTC34-0616P","P0616P","cytotoxic1"
"NTC36-0616P","P0616P","cytotoxic1"
"NTC39-0616P","P0616P","cytotoxic1"
"NTC40-0616P","P0616P","cytotoxic1"
"NTC4-0616P","P0616P","cytotoxic1"
"NTC41-0616P","P0616P","cytotoxic1"
"NTC42-0616P","P0616P","cytotoxic1"
"NTC43-0616P","P0616P","cytotoxic1"
"NTC44-0616P","P0616P","cytotoxic1"
"NTC46-0616P","P0616P","cytotoxic1"
"NTC48-0616P","P0616P","cytotoxic1"
"NTC49-0616P","P0616P","cytotoxic1"
"NTC52-0616P","P0616P","cytotoxic1"
"NTC53-0616P","P0616P","cytotoxic1"
"NTC54-0616P","P0616P","cytotoxic1"
"NTC55-0616P","P0616P","cytotoxic1"
"NTC57-0616P","P0616P","cytotoxic1"
"NTC59-0616P","P0616P","cytotoxic1"
"NTC60-0616P","P0616P","cytotoxic1"
"NTC6-0616P","P0616P","cytotoxic1"
"NTC61-0616P","P0616P","cytotoxic1"
"NTC62-0616P","P0616P","cytotoxic1"
"NTC63-0616P","P0616P","cytotoxic1"
"NTC64-0616P","P0616P","cytotoxic1"
"NTC67-0616P","P0616P","cytotoxic1"
"NTC68-0616P","P0616P","cytotoxic1"
"NTC69-0616P","P0616P","cytotoxic1"
"NTC70-0616P","P0616P","cytotoxic1"
"NTC73-0616P","P0616P","cytotoxic1"
"NTC76-0616P","P0616P","cytotoxic1"
"NTC77-0616P","P0616P","cytotoxic1"
"NTC78-0616P","P0616P","cytotoxic1"
"NTC79-0616P","P0616P","cytotoxic1"
"NTC80-0616P","P0616P","cytotoxic1"
"NTC8-0616P","P0616P","cytotoxic1"
"NTC81-0616P","P0616P","cytotoxic1"
"NTC82-0616P","P0616P","cytotoxic1"
"NTC83-0616P","P0616P","cytotoxic1"
"NTC84-0616P","P0616P","cytotoxic1"
"NTC86-0616P","P0616P","cytotoxic1"
"NTC89-0616P","P0616P","cytotoxic1"
"NTC90-0616P","P0616P","cytotoxic1"
"NTC9-0616P","P0616P","cytotoxic1"
"PTC10-0616P","P0616P","predysfunctional3"
"PTC1-0616P","P0616P","cytotoxic1"
"PTC14-0616P","P0616P","naive2"
"PTC15-0616P","P0616P","cytotoxic1"
"PTC17-0616P","P0616P","naive2"
"PTC18-0616P","P0616P","cytotoxic1"
"PTC19-0616P","P0616P","cytotoxic1"
"PTC20-0616P","P0616P","naive2"
"PTC2-0616P","P0616P","cytotoxic1"
"PTC21-0616P","P0616P","cytotoxic1"
"PTC22-0616P","P0616P","naive2"
"PTC23-0616P","P0616P","naive2"
"PTC24-0616P","P0616P","cytotoxic1"
"PTC25-0616P","P0616P","naive2"
"PTC26-0616P","P0616P","naive2"
"PTC28-0616P","P0616P","naive2"
"PTC29-0616P","P0616P","naive2"
"PTC30-0616P","P0616P","naive2"
"PTC31-0616P","P0616P","cytotoxic1"
"PTC32-0616P","P0616P","naive2"
"PTC33-0616P","P0616P","naive2"
"PTC34-0616P","P0616P","predysfunctional3"
"PTC35-0616P","P0616P","cytotoxic1"
"PTC37-0616P","P0616P","naive2"
"PTC38-0616P","P0616P","cytotoxic1"
"PTC39-0616P","P0616P","naive2"
"PTC40-0616P","P0616P","naive2"
"PTC4-0616P","P0616P","naive2"
"PTC41-0616P","P0616P","cytotoxic1"
"PTC42-0616P","P0616P","naive2"
"PTC43-0616P","P0616P","cytotoxic1"
"PTC44-0616P","P0616P","cytotoxic1"
"PTC45-0616P","P0616P","naive2"
"PTC46-0616P","P0616P","cytotoxic1"
"PTC47-0616P","P0616P","cytotoxic1"
"PTC50-0616P","P0616P","cytotoxic1"
"PTC5-0616P","P0616P","cytotoxic1"
"PTC52-0616P","P0616P","naive2"
"PTC53-0616P","P0616P","naive2"
"PTC54-0616P","P0616P","cytotoxic1"
"PTC55-0616P","P0616P","naive2"
"PTC57-0616P","P0616P","naive2"
"PTC58-0616P","P0616P","naive2"
"PTC59-0616P","P0616P","predysfunctional3"
"PTC60-0616P","P0616P","naive2"
"PTC6-0616P","P0616P","naive2"
"PTC61-0616P","P0616P","cytotoxic1"
"PTC62-0616P","P0616P","cytotoxic1"
"PTC63-0616P","P0616P","naive2"
"PTC66-0616P","P0616P","cytotoxic1"
"PTC67-0616P","P0616P","cytotoxic1"
"PTC68-0616P","P0616P","naive2"
"PTC69-0616P","P0616P","cytotoxic1"
"PTC70-0616P","P0616P","cytotoxic1"
"PTC7-0616P","P0616P","naive2"
"PTC71-0616P","P0616P","naive2"
"PTC72-0616P","P0616P","naive2"
"PTC74-0616P","P0616P","naive2"
"PTC75-0616P","P0616P","naive2"
"PTC76-0616P","P0616P","cytotoxic1"
"PTC78-0616P","P0616P","cytotoxic1"
"PTC81-0616P","P0616P","cytotoxic1"
"PTC82-0616P","P0616P","naive2"
"PTC83-0616P","P0616P","naive2"
"PTC84-0616P","P0616P","naive2"
"PTC85-0616P","P0616P","naive2"
"PTC86-0616P","P0616P","cytotoxic1"
"PTC87-0616P","P0616P","cytotoxic1"
"PTC88-0616P","P0616P","cytotoxic1"
"PTC89-0616P","P0616P","naive2"
"PTC90-0616P","P0616P","naive2"
"PTC91-0616P","P0616P","naive2"
"PTC92-0616P","P0616P","naive2"
"PTC93-0616P","P0616P","naive2"
"PTC94-0616P","P0616P","naive2"
"PTC95-0616P","P0616P","cytotoxic1"
"TTC115-0616P","P0616P","dysfunctional4"
"TTC122-0616P","P0616P","cytotoxic1"
"TTC123-0616P","P0616P","dysfunctional4"
"TTC124-0616P","P0616P","dysfunctional4"
"TTC126-0616P","P0616P","naive2"
"TTC128-0616P","P0616P","naive2"
"TTC129-0616P","P0616P","cytotoxic1"
"TTC134-0616P","P0616P","predysfunctional3"
"TTC135-0616P","P0616P","cytotoxic1"
"TTC136-0616P","P0616P","dysfunctional4"
"TTC137-0616P","P0616P","naive2"
"TTC138-0616P","P0616P","dysfunctional4"
"TTC139-0616P","P0616P","dysfunctional4"
"TTC140-0616P","P0616P","dysfunctional4"
"TTC142-0616P","P0616P","dysfunctional4"
"TTC145-0616P","P0616P","dysfunctional4"
"TTC146-0616P","P0616P","predysfunctional3"
"TTC148-0616P","P0616P","predysfunctional3"
"TTC149-0616P","P0616P","cytotoxic1"
"TTC150-0616P","P0616P","naive2"
"TTC152-0616P","P0616P","cytotoxic1"
"TTC153-0616P","P0616P","dysfunctional4"
"TTC154-0616P","P0616P","dysfunctional4"
"TTC155-0616P","P0616P","naive2"
"TTC156-0616P","P0616P","naive2"
"TTC166-0616P","P0616P","dysfunctional4"
"TTC167-0616P","P0616P","cytotoxic1"
"TTC169-0616P","P0616P","cytotoxic1"
"TTC171-0616P","P0616P","predysfunctional3"
"TTC176-0616P","P0616P","dysfunctional4"
"TTC180-0616P","P0616P","cytotoxic1"
"TTC183-0616P","P0616P","naive2"
"TTC184-0616P","P0616P","cytotoxic1"
"TTC186-0616P","P0616P","dysfunctional4"
"TTC189-0616P","P0616P","predysfunctional3"
"TTC190-0616P","P0616P","dysfunctional4"
"TTC195-0616P","P0616P","cytotoxic1"
"TTC210-0616P","P0616P","naive2"
"TTC213-0616P","P0616P","naive2"
"TTC219-0616P","P0616P","dysfunctional4"
"TTC244-0616P","P0616P","cytotoxic1"
"TTC250-0616P","P0616P","dysfunctional4"
"TTC251-0616P","P0616P","dysfunctional4"
"NTC-14-0616P","P0616P","cytotoxic1"
"NTC-24-0616P","P0616P","cytotoxic1"
"NTC-72-0616P","P0616P","cytotoxic1"
"TTC102-0616P","P0616P","cytotoxic1"
"TTC103-0616P","P0616P","dysfunctional4"
"TTC-112-0616P","P0616P","dysfunctional4"
"TTC-120-0616P","P0616P","dysfunctional4"
"TTC-127-0616P","P0616P","cytotoxic1"
"TTC-174-0616P","P0616P","predysfunctional3"
"TTC-196-0616P","P0616P","dysfunctional4"
"TTC-204-0616P","P0616P","naive2"
"TTC-208-0616P","P0616P","dysfunctional4"
"TTC211-0616P","P0616P","dysfunctional4"
"TTC212-0616P","P0616P","cytotoxic1"
"TTC217-0616P","P0616P","dysfunctional4"
"TTC221-0616P","P0616P","cytotoxic1"
"TTC227-0616P","P0616P","dysfunctional4"
"TTC230-0616P","P0616P","predysfunctional3"
"TTC233-0616P","P0616P","dysfunctional4"
"TTC235-0616P","P0616P","dysfunctional4"
"TTC239-0616P","P0616P","dysfunctional4"
"NTC1-93-0617","P0617","cytotoxic1"
"NTC1-96-0617","P0617","predysfunctional3"
"PTC10-0617","P0617","cytotoxic1"
"PTC1-0617","P0617","cytotoxic1"
"PTC11-0617","P0617","cytotoxic1"
"PTC13-0617","P0617","cytotoxic1"
"PTC14-0617","P0617","cytotoxic1"
"PTC15-0617","P0617","cytotoxic1"
"PTC16-0617","P0617","cytotoxic1"
"PTC18-0617","P0617","cytotoxic1"
"PTC19-0617","P0617","cytotoxic1"
"PTC20-0617","P0617","cytotoxic1"
"PTC2-0617","P0617","cytotoxic1"
"PTC21-0617","P0617","cytotoxic1"
"PTC22-0617","P0617","predysfunctional3"
"PTC24-0617","P0617","cytotoxic1"
"PTC25-0617","P0617","cytotoxic1"
"PTC26-0617","P0617","cytotoxic1"
"PTC27-0617","P0617","cytotoxic1"
"PTC28-0617","P0617","cytotoxic1"
"PTC29-0617","P0617","naive2"
"PTC30-0617","P0617","predysfunctional3"
"PTC3-0617","P0617","naive2"
"PTC4-0617","P0617","cytotoxic1"
"PTC5-0617","P0617","cytotoxic1"
"PTC6-0617","P0617","cytotoxic1"
"PTC8-0617","P0617","cytotoxic1"
"PTC9-0617","P0617","cytotoxic1"
"TTC10-0617","P0617","predysfunctional3"
"TTC1-0617","P0617","dysfunctional4"
"TTC11-0617","P0617","cytotoxic1"
"TTC13-0617","P0617","predysfunctional3"
"TTC14-0617","P0617","cytotoxic1"
"TTC15-0617","P0617","naive2"
"TTC16-0617","P0617","cytotoxic1"
"TTC18-0617","P0617","predysfunctional3"
"TTC19-0617","P0617","cytotoxic1"
"TTC20-0617","P0617","naive2"
"TTC21-0617","P0617","cytotoxic1"
"TTC22-0617","P0617","cytotoxic1"
"TTC24-0617","P0617","cytotoxic1"
"TTC25-0617","P0617","cytotoxic1"
"TTC26-0617","P0617","naive2"
"TTC3-0617","P0617","dysfunctional4"
"TTC31-0617","P0617","naive2"
"TTC32-0617","P0617","cytotoxic1"
"TTC34-0617","P0617","naive2"
"TTC35-0617","P0617","naive2"
"TTC4-0617","P0617","naive2"
"TTC41-0617","P0617","cytotoxic1"
"TTC42-0617","P0617","naive2"
"TTC5-0617","P0617","dysfunctional4"
"TTC58-0617","P0617","predysfunctional3"
"TTC6-0617","P0617","naive2"
"TTC7-0617","P0617","dysfunctional4"
"TTC8-0617","P0617","cytotoxic1"
"TTC9-0617","P0617","cytotoxic1"
"NTC13-0617","P0617","cytotoxic1"
"NTC15-0617","P0617","cytotoxic1"
"NTC17-0617","P0617","cytotoxic1"
"NTC21-0617","P0617","naive2"
"NTC23-0617","P0617","cytotoxic1"
"NTC25-0617","P0617","predysfunctional3"
"NTC26-0617","P0617","cytotoxic1"
"NTC27-0617","P0617","cytotoxic1"
"NTC28-0617","P0617","cytotoxic1"
"NTC30-0617","P0617","predysfunctional3"
"NTC3-0617","P0617","cytotoxic1"
"NTC31-0617","P0617","predysfunctional3"
"NTC33-0617","P0617","cytotoxic1"
"NTC34-0617","P0617","cytotoxic1"
"NTC36-0617","P0617","cytotoxic1"
"NTC37-0617","P0617","cytotoxic1"
"NTC41-0617","P0617","cytotoxic1"
"NTC42-0617","P0617","cytotoxic1"
"NTC43-0617","P0617","cytotoxic1"
"NTC44-0617","P0617","predysfunctional3"
"NTC46-0617","P0617","cytotoxic1"
"NTC47-0617","P0617","cytotoxic1"
"NTC49-0617","P0617","cytotoxic1"
"NTC50-0617","P0617","cytotoxic1"
"NTC57-0617","P0617","cytotoxic1"
"NTC58-0617","P0617","cytotoxic1"
"NTC59-0617","P0617","cytotoxic1"
"NTC60-0617","P0617","cytotoxic1"
"NTC61-0617","P0617","cytotoxic1"
"NTC64-0617","P0617","cytotoxic1"
"NTC65-0617","P0617","cytotoxic1"
"NTC66-0617","P0617","cytotoxic1"
"NTC67-0617","P0617","cytotoxic1"
"NTC69-0617","P0617","predysfunctional3"
"NTC73-0617","P0617","dysfunctional4"
"NTC76-0617","P0617","cytotoxic1"
"NTC77-0617","P0617","cytotoxic1"
"NTC78-0617","P0617","cytotoxic1"
"NTC79-0617","P0617","cytotoxic1"
"NTC81-0617","P0617","cytotoxic1"
"NTC82-0617","P0617","cytotoxic1"
"NTC85-0617","P0617","cytotoxic1"
"NTC91-0617","P0617","cytotoxic1"
"NTC92-0617","P0617","cytotoxic1"
"PTC33-0617","P0617","cytotoxic1"
"PTC35-0617","P0617","cytotoxic1"
"PTC36-0617","P0617","cytotoxic1"
"PTC37-0617","P0617","cytotoxic1"
"PTC39-0617","P0617","cytotoxic1"
"PTC42-0617","P0617","cytotoxic1"
"PTC43-0617","P0617","cytotoxic1"
"PTC47-0617","P0617","cytotoxic1"
"PTC48-0617","P0617","naive2"
"PTC49-0617","P0617","cytotoxic1"
"PTC50-0617","P0617","cytotoxic1"
"PTC53-0617","P0617","cytotoxic1"
"PTC54-0617","P0617","cytotoxic1"
"PTC55-0617","P0617","cytotoxic1"
"PTC57-0617","P0617","cytotoxic1"
"PTC58-0617","P0617","cytotoxic1"
"PTC59-0617","P0617","cytotoxic1"
"PTC60-0617","P0617","cytotoxic1"
"PTC62-0617","P0617","cytotoxic1"
"PTC66-0617","P0617","cytotoxic1"
"PTC68-0617","P0617","cytotoxic1"
"PTC69-0617","P0617","naive2"
"PTC70-0617","P0617","cytotoxic1"
"PTC72-0617","P0617","predysfunctional3"
"PTC75-0617","P0617","cytotoxic1"
"PTC76-0617","P0617","cytotoxic1"
"PTC77-0617","P0617","cytotoxic1"
"PTC79-0617","P0617","naive2"
"PTC82-0617","P0617","naive2"
"PTC83-0617","P0617","cytotoxic1"
"PTC84-0617","P0617","cytotoxic1"
"PTC85-0617","P0617","cytotoxic1"
"PTC86-0617","P0617","cytotoxic1"
"PTC87-0617","P0617","cytotoxic1"
"PTC88-0617","P0617","cytotoxic1"
"PTC89-0617","P0617","cytotoxic1"
"PTC92-0617","P0617","cytotoxic1"
